id,candidate,candidate_confidence,relevant_yn,relevant_yn_confidence,sentiment,sentiment_confidence,subject_matter,subject_matter_confidence,candidate_gold,name,relevant_yn_gold,retweet_count,sentiment_gold,subject_matter_gold,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
763,Marco Rubio,1.0,,,Positive,1.0,,,,,,0,,,,,,,"Santa Barbara, CA",
774,Donald Trump,1.0,,,Negative,1.0,,,,,,0,,,,,,,Ohio,
800,Donald Trump,1.0,,,Negative,0.3778,,,,,,0,,,,,,,"Boise, ID",
805,Jeb Bush,0.4311,,,Positive,0.6566,,,,,,0,,,,,,,"Washington, DC",
806,Donald Trump,0.6829,,,Neutral,0.6829,,,,,,1,,,,,,,Washington D.C.,
811,Marco Rubio,1.0,,,Neutral,0.6304,,,,,,8,,,,,,,"Land O' Lakes, FL",
814,Marco Rubio,0.4233,,,Negative,0.6506,,,,,,1,,,,,,,Washington #TheDistrict D.C.,
820,Donald Trump,0.435,,,Neutral,0.3404,,,,,,20,,,,,,,"Los Angeles, CA",
822,Donald Trump,0.4074,,,Negative,0.6383,,,,,,0,,,,,,,"Brooklyn, NY",
834,Chris Christie,1.0,,,Negative,0.6662,,,,,,0,,,,,,,"Los Angeles, CA ",
841,Mike Huckabee,0.3974,,,Neutral,0.6304,,,,,,4,,,,,,,"Ottumwa, Iowa",
845,Donald Trump,0.6277,,,Neutral,0.6809,,,,,,0,,,,,,,Twinsburg OH,
861,Chris Christie,1.0,,,Negative,1.0,,,,,,0,,,,,,,"Washington, DC",
871,Donald Trump,0.4207,,,Neutral,0.3401,,,,,,1,,,,,,,"San Diego, CA USA",
872,Donald Trump,1.0,,,Neutral,1.0,,,,,,0,,,,,,,"Los Angeles, CA",
874,Donald Trump,1.0,,,Negative,0.6667,,,,,,0,,,,,,,"Palm Beach, Florida",
876,Donald Trump,1.0,,,Neutral,0.6522,,,,,,0,,,,,,,Michigan,
883,Donald Trump,1.0,,,Negative,0.6897,,,,,,399,,,,,,,Texas,
891,Scott Walker,1.0,,,Positive,0.6279,,,,,,0,,,,,,,Missouri & Florida Wisconsin,
891,Scott Walker,1.0,,,Positive,0.6279,,,,,,0,,,,,,,Missouri & Florida Wisconsin,
891,Scott Walker,1.0,,,Positive,0.6279,,,,,,0,,,,,,,Missouri & Florida Wisconsin,
894,Donald Trump,1.0,,,Negative,1.0,,,,,,0,,,,,,,"Austin, TX",
899,Donald Trump,0.6882,,,Negative,0.6452,,,,,,0,,,,,,,California,
917,Chris Christie,1.0,,,Neutral,0.6369,,,,,,8,,,,,,,"Atlanta, Georgia",
922,Scott Walker,1.0,,,Negative,1.0,,,,,,0,,,,,,,"Salem, OR",
927,Ted Cruz,1.0,,,Neutral,1.0,,,,,,744,,,,,,,Vancouver WA,
928,Donald Trump,0.4025,,,Negative,0.3226,,,,,,43,,,,,,,"Stoned, NY - Cali Bound",
930,Donald Trump,1.0,,,Negative,0.6382,,,,,,0,,,,,,,California,
942,Ted Cruz,1.0,,,Positive,0.6889,,,,,,19,,,,,,,"Katy, TX",
945,Donald Trump,1.0,,,Negative,1.0,,,,,,0,,,,,,,Ohio,
953,Donald Trump,1.0,,,Negative,0.6742,,,,,,10,,,,,,,"Amherst, MA",
956,Chris Christie,1.0,,,Negative,1.0,,,,,,578,,,,,,,"Chicago, IL",
957,Donald Trump,1.0,,,Neutral,0.693,,,,,,0,,,,,,,"Nashville, TN",
968,John Kasich,0.684,,,Negative,1.0,,,,,,0,,,,,,,"Southlake, TX / Chesapeake, VA",
968,John Kasich,0.684,,,Negative,1.0,,,,,,0,,,,,,,"Southlake, TX / Chesapeake, VA",
972,Marco Rubio,1.0,,,Positive,1.0,,,,,,0,,,,,,,Virginia,
982,Ted Cruz,1.0,,,Neutral,0.6848,,,,,,0,,,,,,,Center Valley PA,
984,Donald Trump,0.4121,,,Negative,0.642,,,,,,0,,,,,,,Cheektowaga NY USA ,
992,Donald Trump,1.0,,,Positive,0.6542,,,,,,0,,,,,,,"IN YOUR HEAD, MOM'S BASEMENT ",
1001,Mike Huckabee,0.6526,,,Positive,1.0,,,,,,0,,,,,,,Texas,
1006,Jeb Bush,1.0,,,Positive,0.3488,,,,,,0,,,,,,,"Grand Rapids, MI",
1008,Donald Trump,1.0,,,Neutral,0.6882,,,,,,279,,,,,,,New York,
1009,Donald Trump,1.0,,,Negative,0.6792,,,,,,1,,,,,,,"Richmond, VA",
1010,Ben Carson,0.4395,,,Positive,0.6629,,,,,,44,,,,,,,Columbia SC  greatest city,
1013,Donald Trump,1.0,,,Negative,1.0,,,,,,4,,,,,,,Michigan,
1029,Donald Trump,1.0,,,Negative,1.0,,,,,,0,,,,,,,Washington DC,
1029,Donald Trump,1.0,,,Negative,1.0,,,,,,0,,,,,,,Washington DC,
1031,Scott Walker,1.0,,,Positive,1.0,,,,,,26,,,,,,,"Wauwatosa, WI",
1045,Donald Trump,0.3681,,,Negative,0.6067,,,,,,0,,,,,,,God's Country N Central FL ,
1078,Ted Cruz,1.0,,,Positive,0.3531,,,,,,0,,,,,,,"West Haven, CT",
1081,Mike Huckabee,1.0,,,Negative,1.0,,,,,,304,,,,,,,Texas #HillCountry,
1086,Ben Carson,1.0,,,Neutral,0.6738,,,,,,0,,,,,,,"Oklahoma City, OK",
1086,Ben Carson,1.0,,,Neutral,0.6738,,,,,,0,,,,,,,"Oklahoma City, OK",
1088,Donald Trump,1.0,,,Positive,0.6484,,,,,,0,,,,,,,"Washington, DC",
1104,Jeb Bush,0.6705,,,Positive,0.6705,,,,,,199,,,,,,,Colorado,
1125,Donald Trump,1.0,,,Positive,1.0,,,,,,157,,,,,,,"Manhattan, NY",
1153,Scott Walker,1.0,,,Negative,1.0,,,,,,39,,,,,,,North Coast // Wisconsin,
1158,Donald Trump,0.6522,,,Negative,1.0,,,,,,0,,,,,,,"Stillwater, OK",
1159,Donald Trump,1.0,,,Negative,1.0,,,,,,35,,,,,,,"Milwaukee, Wisconsin",
1162,Scott Walker,1.0,,,Negative,1.0,,,,,,41,,,,,,,North Coast // Wisconsin,
1167,Marco Rubio,1.0,,,Negative,1.0,,,,,,6,,,,,,,Arizona,
1182,Donald Trump,1.0,,,Negative,1.0,,,,,,0,,,,,,,Seattle WA USA,
1188,Mike Huckabee,0.6608,,,Positive,0.6608,,,,,,6,,,,,,,Oklahoma,
1198,Jeb Bush,1.0,,,Neutral,0.6593,,,,,,4,,,,,,,Texas,
1199,Donald Trump,1.0,,,Negative,1.0,,,,,,0,,,,,,,California,
1205,Donald Trump,0.3999,,,Negative,0.6323,,,,,,0,,,,,,,The only surviving town in RI,
1224,Ben Carson,1.0,,,Positive,0.6737,,,,,,0,,,,,,,Deep in the Heart of Texas,
1228,Donald Trump,1.0,,,Negative,1.0,,,,,,1,,,,,,,"Keller, TX",
1230,Scott Walker,0.6629,,,Negative,1.0,,,,,,0,,,,,,,"Brooklyn, NY",
1240,,0.2369,,,Negative,0.6145,,,,,,10,,,,,,,"Des Moines, Iowa",
1249,Marco Rubio,1.0,,,Positive,1.0,,,,,,0,,,,,,,"Humble, TX",
1252,Ted Cruz,0.228,,,Positive,0.3516,,,,,,0,,,,,,,"SC & GA Swamps, USA",
1252,Ted Cruz,0.228,,,Positive,0.3516,,,,,,0,,,,,,,"SC & GA Swamps, USA",
1263,Donald Trump,1.0,,,Negative,1.0,,,,,,24,,,,,,,"Chapel Hill, NC",
1266,Donald Trump,1.0,,,Negative,1.0,,,,,,3,,,,,,,"Washington, DC",
1274,Scott Walker,0.4805,,,Negative,0.6932,,,,,,0,,,,,,,"Granite City, IL",
1300,Donald Trump,1.0,,,Neutral,0.7143,,,,,,1,,,,,,,Ohio- So. Cal- Texas,
1307,Jeb Bush,0.4584,,,Neutral,0.3438,,,,,,0,,,,,,,New York,
1312,Donald Trump,1.0,,,Positive,0.6277,,,,,,8,,,,,,,"USA, North Carolina ",
1314,Donald Trump,1.0,,,Negative,0.6354,,,,,,0,,,,,,,Oklahoma City,
1320,Ted Cruz,1.0,,,Positive,0.6395,,,,,,18,,,,,,,"Missouri City, TX",
1320,Ted Cruz,1.0,,,Positive,0.6395,,,,,,18,,,,,,,"Missouri City, TX",
1326,Donald Trump,1.0,,,Negative,1.0,,,,,,0,,,,,,,NJ,
1330,Scott Walker,1.0,,,Positive,0.3415,,,,,,0,,,,,,,"Boston & Cambridge, MA",
1338,Mike Huckabee,1.0,,,Positive,1.0,,,,,,10,,,,,,,Oklahoma,
1341,Scott Walker,0.4062,,,Positive,0.3187,,,,,,2,,,,,,, Clarkrange Tennessee,
1359,Ted Cruz,1.0,,,Positive,0.6937,,,,,,188,,,,,,,"Houston, Texas",
1361,Mike Huckabee,1.0,,,Positive,0.6477,,,,,,6,,,,,,,"PHILA, PA / AR / D.C. / U.S.A.",
1361,Mike Huckabee,1.0,,,Positive,0.6477,,,,,,6,,,,,,,"PHILA, PA / AR / D.C. / U.S.A.",
1376,Donald Trump,1.0,,,Neutral,0.6629999999999999,,,,,,210,,,,,,,California,
1379,Donald Trump,1.0,,,Negative,0.6437,,,,,,0,,,,,,,"San Diego, CA",
1381,Chris Christie,1.0,,,Negative,0.6774,,,,,,0,,,,,,,"St George, UT",
1388,Marco Rubio,1.0,,,Negative,1.0,,,,,,0,,,,,,,New York,
1389,Donald Trump,1.0,,,Positive,1.0,,,,,,0,,,,,,,"Long Island, NY",
1390,Ben Carson,1.0,,,Negative,1.0,,,,,,4,,,,,,,"Los Angeles, CA",
1391,Scott Walker,1.0,,,Negative,1.0,,,,,,0,,,,,,,"Marietta, GA",
1405,Donald Trump,1.0,,,Negative,1.0,,,,,,1,,,,,,,"Orange County, California",
1417,Donald Trump,1.0,,,Positive,1.0,,,,,,0,,,,,,,"Hagerstown, MD ",
1422,Donald Trump,1.0,,,Negative,0.6979,,,,,,155,,,,,,,Phoenix AZ,
1426,Ted Cruz,1.0,,,Neutral,0.6809,,,,,,1,,,,,,,Missouri,
1429,Ted Cruz,1.0,,,Negative,0.6329,,,,,,2,,,,,,,Florida,
1450,Ted Cruz,1.0,,,Positive,0.3412,,,,,,21,,,,,,,"Edmond, OK",
1452,Marco Rubio,1.0,,,Negative,1.0,,,,,,0,,,,,,,California,
1455,Marco Rubio,1.0,,,Positive,0.6725,,,,,,0,,,,,,,"El Monte, CA",
1457,Donald Trump,1.0,,,Negative,0.7,,,,,,15,,,,,,,"Spokane, WA ",
1464,Donald Trump,0.4545,,,Negative,0.6742,,,,,,0,,,,,,,Michigan,
1468,Donald Trump,0.4495,,,Negative,0.6705,,,,,,337,,,,,,,Arizona ☀,
1469,Donald Trump,0.6703,,,Positive,0.6813,,,,,,0,,,,,,,Michigan,
1472,Rand Paul,1.0,,,Neutral,0.6667,,,,,,12,,,,,,,"Las Vegas, Nevada",
1509,Scott Walker,1.0,,,Neutral,1.0,,,,,,5,,,,,,,Florida,
1534,Donald Trump,1.0,,,Negative,0.6905,,,,,,30,,,,,,,"Cary, NC",
1535,Ben Carson,1.0,,,Positive,0.6517,,,,,,34,,,,,,,SD,
1559,Mike Huckabee,1.0,,,Positive,1.0,,,,,,5,,,,,,,"Eufaula, AL",
1560,Ted Cruz,1.0,,,Positive,1.0,,,,,,15,,,,,,,Oregon,
1578,Donald Trump,1.0,,,Positive,1.0,,,,,,642,,,,,,,Coon Rapids MN,
1582,Ted Cruz,1.0,,,Positive,1.0,,,,,,0,,,,,,,"La Vergne, TN",
1583,Ted Cruz,1.0,,,Neutral,0.6632,,,,,,3,,,,,,,"Levy, South Carolina",
1584,Donald Trump,0.4046,,,Neutral,0.6361,,,,,,2,,,,,,,"Washington, DC",
1601,Mike Huckabee,1.0,,,Positive,0.6842,,,,,,3,,,,,,,Texas,
1614,Donald Trump,1.0,,,Negative,1.0,,,,,,0,,,,,,,"Chicago, IL",
1619,Donald Trump,0.4328,,,Neutral,0.3499,,,,,,0,,,,,,,Michigan,
1629,Donald Trump,0.4067,,,Neutral,0.6377,,,,,,19,,,,,,,"Bronx, NY",
1632,Donald Trump,0.4025,,,Negative,0.6344,,,,,,17,,,,,,,"Phoenix, AZ",
1650,Ted Cruz,1.0,,,Positive,1.0,,,,,,0,,,,,,,*Tornado Land* aka Oklahoma,
1658,Donald Trump,1.0,,,Negative,0.6629,,,,,,0,,,,,,,Missouri,
1677,Rand Paul,1.0,,,Negative,0.6603,,,,,,7,,,,,,,"Asheville, NC",
1679,Donald Trump,0.6742,,,Negative,0.6742,,,,,,2,,,,,,,Danbury CT,
1694,Donald Trump,1.0,,,Negative,0.7079,,,,,,0,,,,,,,Seattle WA USA,
1702,Donald Trump,1.0,,,Negative,1.0,,,,,,0,,,,,,,"Washington, DC",
1703,Chris Christie,1.0,,,Negative,1.0,,,,,,0,,,,,,,"Asheville, NC",
1710,Donald Trump,1.0,,,Neutral,1.0,,,,,,2,,,,,,,Colorado,
1713,Donald Trump,1.0,,,Positive,0.6387,,,,,,1,,,,,,,"San Diego, California",
1721,,0.2307,,,Neutral,0.3272,,,,,,46,,,,,,,"Warren, Ohio -U.S.A.-",
1724,Donald Trump,1.0,,,Negative,1.0,,,,,,12,,,,,,,"Ellicott City, Maryland",
1726,Donald Trump,1.0,,,Positive,1.0,,,,,,6,,,,,,,"New York, NY/ Hollywood FL",
1729,Donald Trump,0.4444,,,Neutral,0.3333,,,,,,7,,,,,,,"Lubbock, TX",
1741,Ted Cruz,0.6499,,,Neutral,0.6519,,,,,,0,,,,,,,"San Antonio, TX",
1755,Chris Christie,1.0,,,Negative,1.0,,,,,,0,,,,,,,"Oklahoma City, OK",
1755,Chris Christie,1.0,,,Negative,1.0,,,,,,0,,,,,,,"Oklahoma City, OK",
1756,Marco Rubio,1.0,,,Neutral,0.3518,,,,,,2,,,,,,,"San Diego, CA",
1760,Donald Trump,0.3964,,,Negative,0.6296,,,,,,1,,,,,,,Arizona USA,
1763,Donald Trump,1.0,,,Negative,0.6372,,,,,,20,,,,,,,"Cheyenne, Wyoming",
1777,Chris Christie,1.0,,,Positive,1.0,,,,,,0,,,,,,,"Brooklyn, NY",
1779,Donald Trump,1.0,,,Negative,0.6552,,,,,,17,,,,,,,"Ellicott City, Maryland",
1780,Donald Trump,1.0,,,Neutral,1.0,,,,,,0,,,,,,,"Peoria, AZ",
1784,Donald Trump,1.0,,,Negative,1.0,,,,,,38,,,,,,,"Ellicott City, Maryland",
1813,Jeb Bush,1.0,,,Negative,0.6667,,,,,,1,,,,,,,New York City,
1814,Donald Trump,0.4356,,,Negative,0.66,,,,,,0,,,,,,,"Irvine, CA",
1815,Rand Paul,1.0,,,Neutral,0.6742,,,,,,562,,,,,,,Arizona,
1816,Jeb Bush,1.0,,,Negative,1.0,,,,,,111,,,,,,,"Los Angeles, CA",
1821,Ben Carson,1.0,,,Negative,0.6591,,,,,,27,,,,,,,"Washington, DC",
1828,Mike Huckabee,1.0,,,Negative,0.6701,,,,,,30,,,,,,,"Nashville, TN & Phoenix, AZ",
1828,Mike Huckabee,1.0,,,Negative,0.6701,,,,,,30,,,,,,,"Nashville, TN & Phoenix, AZ",
1843,Donald Trump,1.0,,,Negative,1.0,,,,,,1,,,,,,,"Smithtown, NY ",
1846,Donald Trump,0.4444,,,Positive,0.6667,,,,,,0,,,,,,,"Central, SC",
1848,Donald Trump,1.0,,,Neutral,0.6413,,,,,,8,,,,,,,"Ellicott City, Maryland",
1855,Mike Huckabee,1.0,,,Negative,1.0,,,,,,8,,,,,,,"Nashville, TN & Phoenix, AZ",
1855,Mike Huckabee,1.0,,,Negative,1.0,,,,,,8,,,,,,,"Nashville, TN & Phoenix, AZ",
1864,Donald Trump,1.0,,,Negative,1.0,,,,,,1,,,,,,,Phoenix AZ,
1885,Ted Cruz,1.0,,,Neutral,0.6512,,,,,,101,,,,,,,NW Wyoming & NW Montana,
1885,Ted Cruz,1.0,,,Neutral,0.6512,,,,,,101,,,,,,,NW Wyoming & NW Montana,
1886,Chris Christie,1.0,,,Neutral,0.6716,,,,,,0,,,,,,,"St George, UT",
1893,Donald Trump,1.0,,,Negative,1.0,,,,,,1,,,,,,,Washington DC,
1893,Donald Trump,1.0,,,Negative,1.0,,,,,,1,,,,,,,Washington DC,
1895,Donald Trump,0.4471,,,Neutral,0.3714,,,,,,42,,,,,,,"San Mateo, CA",
1898,Donald Trump,0.4422,,,Negative,0.665,,,,,,0,,,,,,,Michigan,
1900,Jeb Bush,0.4539,,,Neutral,0.3368,,,,,,1,,,,,,,"Chelsea, MA",
1904,Ben Carson,1.0,,,Positive,1.0,,,,,,0,,,,,,,"Fayette County, GA",
1917,Donald Trump,0.4395,,,Negative,0.6629,,,,,,12,,,,,,,"Nashville, Tennessee",
1926,Marco Rubio,1.0,,,Positive,0.6882,,,,,,0,,,,,,,"Cedar Park, TX",
1931,Donald Trump,1.0,,,Neutral,1.0,,,,,,0,,,,,,,New York City,
1934,Jeb Bush,1.0,,,Negative,0.6989,,,,,,190,,,,,,,"St Petersburg, FL",
1940,Donald Trump,1.0,,,Negative,0.6742,,,,,,0,,,,,,,"Jacksonville, FL",
1945,Scott Walker,0.3989,,,Neutral,0.6316,,,,,,42,,,,,,,Texas,
